x,r
92.28594061,50.4732064
92.58024417,50.54320668
92.87459276,50.61301743
93.16898623,50.68263863
93.46342446,50.7520703
93.75790732,50.82131244
94.05243468,50.89036504
94.34700641,50.95922811
94.64162239,51.02790166
94.93628248,51.09638569
95.23098655,51.16468019
95.52573447,51.23278518
95.82052612,51.30070067
96.11536137,51.36842664
96.41024008,51.43596312
96.70516212,51.5033101
97.00012737,51.57046758
97.2951357,51.63743559
97.59018698,51.70421412
97.88528107,51.77080317
98.18041786,51.83720277
98.4755972,51.9034129
98.77081897,51.96943359
99.06608305,52.03526483
99.36138929,52.10090665
99.65673758,52.16635903
99.95212777,52.231622
100.2475598,52.29669557
100.5430334,52.36157973
100.8385485,52.42627451
101.1341051,52.49077991
101.4297029,52.55509595
101.7253419,52.61922262
102.0210218,52.68315995
102.3167427,52.74690795
102.6125042,52.81046663
102.9083064,52.87383599
103.2041491,52.93701606
103.5,53
