x,r
-7.066039191,18.79920446
-6.762736749,18.718128
-6.458504506,18.64061345
-6.153384292,18.56667145
-5.847418057,18.49631218
-5.540647868,18.42954531
-5.233115902,18.36638003
-4.924864442,18.306825
-4.615935868,18.25088843
-4.306372655,18.198578
-3.996217365,18.14990091
-3.685512639,18.10486385
-3.374301197,18.063473
-3.062625826,18.02573407
-2.750529379,17.99165224
-2.438054765,17.96123219
-2.125244946,17.93447811
-1.81214293,17.91139367
-1.498791765,17.89198206
-1.185234532,17.87624593
-0.871514343,17.86418746
-0.557674331,17.8558083
-0.243757645,17.8511096
0.070191396,17.85036128
0.38394311,17.860818
0.696881024,17.88570461
1.008341838,17.92496836
1.317665384,17.97852604
1.624196024,18.04626412
1.92728404,18.12803903
2.22628701,18.22367744
2.520571172,18.33297663
2.809512765,18.45570493
3.094263013,18.58790282
3.37888058,18.72029722
3.663561445,18.85246054
3.94830561,18.98439278
4.233113072,19.11609394
4.518582943,19.24784025
4.8037427,19.37918255
5.089001434,19.51030975
5.374359022,19.64122169
5.659815336,19.77191821
