x,r
-23.42604237,26.88162779
-22.89804538,26.63541875
-22.37004839,26.38920971
-21.8420514,26.14300067
-21.31405441,25.89679163
-20.78605742,25.65058259
-20.25806042,25.40437355
-19.73006343,25.1581645
-19.20206644,24.91195546
-18.67406945,24.66574642
-18.14607246,24.41953738
-17.61807547,24.17332834
-17.09007848,23.9271193
-16.56208149,23.68091026
-16.03408449,23.43470122
-15.5060875,23.18849218
-14.97809051,22.94228314
-14.45009352,22.6960741
-13.92209653,22.44986506
-13.39409954,22.20365602
-12.86610255,21.95744698
-12.33810556,21.71123794
-11.80908283,21.46725381
-11.27552859,21.23335645
-10.7373446,21.01031813
-10.19475184,20.79823043
-9.647973088,20.59718044
-9.097232863,20.4072507
-8.542757297,20.22851921
-7.984774059,20.06105934
-7.423512258,19.90493986
-6.859202349,19.76022487
-6.292076038,19.6269738
-5.72236619,19.50524135
-5.150306727,19.3950775
-4.576132539,19.2965275
-4.000079382,19.20963181
-3.422383786,19.1344261
-2.843282952,19.07094126
-2.263014661,19.01920335
-1.681817171,18.97923362
-1.099929125,18.95104847
-0.517589446,18.93465949
0.064961959,18.93028826
0.6466988,18.95862286
1.224341506,19.03311786
1.794233125,19.15330165
2.352765775,19.31841337
2.898013796,19.52342152
3.44084908,19.73491506
3.983986354,19.94563184
4.527424574,20.15557127
5.07116269,20.36473275
5.615199653,20.57311568
6.159534407,20.78071948
6.704165894,20.98754358
7.249093054,21.19358739
7.794314824,21.39885036
8.339830137,21.60333192
8.885637922,21.80703151
9.431737108,22.00994859
9.978126618,22.21208262
10.52480538,22.41343306
11.0717723,22.61399938
11.6190263,22.81378106
12.1665663,23.01277758
12.7143912,23.21098843
13.26249991,23.4084131
13.81089134,23.6050511
14.35956438,23.80090194
14.90851795,23.99596512
15.45775093,24.19024018
16.00726221,24.38372663
16.5570507,24.57642401
17.10711527,24.76833186
17.65745482,24.95944973
18.20806823,25.14977716
18.75895438,25.33931373
19.31011215,25.52805899
19.86154042,25.71601251
20.41323805,25.90317389
20.96520393,26.08954269
21.51743692,26.27511851
22.06993588,26.45990095
22.62269969,26.64388961
23.17572721,26.82708411
23.72901729,27.00948406
24.28256879,27.19108909
24.83638058,27.37189883
25.3904515,27.55191291
25.94478041,27.73113098
26.49936616,27.90955269
27.05420759,28.0871777
27.60930355,28.26400567
28.16465289,28.44003626
28.72025444,28.61526917
29.27610705,28.78970406
29.83220955,28.96334064
30.38856079,29.1361786
30.94515959,29.30821764
31.50200479,29.47945747
32.05909522,29.6498978
32.61642971,29.81953838
33.17400708,29.98837891
33.73182617,30.15641914
34.2898858,30.32365882
34.84818479,30.49009769
35.40672195,30.65573551
35.96549612,30.82057205
36.52450611,30.98460707
37.08375074,31.14784035
37.64322882,31.31027168
38.20293916,31.47190084
38.76288058,31.63272764
39.3230519,31.79275187
39.88345191,31.95197336
40.44407943,32.11039191
41.00493327,32.26800734
41.56601224,32.4248195
