Engine x,Engine y,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.17883706989999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1785851303,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1783331906,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.178081251,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1778293113,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1775773717,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.177325432,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1770734924,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1768215528,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1765696131,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17631767350000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1760657338,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17581379419999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1755618545,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1753099149,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1750579752,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1748060356,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.174554096,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1743021563,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17405021669999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.173798277,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1735463374,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1732943977,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17304245810000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1727905185,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1725385788,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1722866392,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1720346995,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1717827599,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1715308202,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.17127888060000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1710269409,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1707750013,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1705230617,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.170271122,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1700191824,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1697672427,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16951530310000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1692633634,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16901142379999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1687594841,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1685075445,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16825560490000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1680036652,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16775172559999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1674997859,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1672478463,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16699590660000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.166743967,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16649202740000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1662400877,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16598814809999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1657362084,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1654842688,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1652323291,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1649803895,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16472844979999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1644765102,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16422457059999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1639726309,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1637206913,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1634687516,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16321681200000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1629648723,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1627129327,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1624609931,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1622090534,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1619571138,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1617051741,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.16145323450000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1612012948,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1609493552,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1606974155,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1604454759,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1601935363,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15994159659999999,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.159689657,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1594377173,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15918577769999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15893383800000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
