x real height,y real height
6.115442177236212,20.495312211845874
5.729246752192553,20.37087335006672
5.340757590159881,20.254625847120433
4.9501299314920075,20.146601922447385
4.557519946303593,20.046831798449972
4.163084639461974,19.955343617239077
3.766981666733669,19.87216334730081
3.369369521581451,19.797314755609104
2.9704072202469156,19.730819323274314
2.5702543028205995,19.672696198145392
2.169070909717883,19.62296216388315
1.767017490996994,19.581631590267747
1.3642549571424774,19.548716408145342
0.9609443630961843,19.52422607910303
0.5572470741141522,19.508167570298326
0.08770404774585017,19.500066468914305
-0.6346503887453117,19.492953844389245
-1.373531775973329,19.499822971883027
-2.1022765389124896,19.52458583186701
-2.8154848562251047,19.567760746272008
-3.2859977485515537,19.732529756295357
-3.640960639516234,19.944532624747644
-4.072500287515577,20.11171595261945
-4.504305515240708,20.27818713574885
-4.936375097199668,20.443945637520166
-5.368707966712436,20.60899083523943
-5.801303018527874,20.773322119573223
-6.234159574096969,20.936938721747932
-6.667275952879784,21.099840314460884
-7.10065174082167,21.262025999088365
-7.534285512751368,21.42349536882828
-7.968176100772514,21.58424786287825
-8.402322954830474,21.74428268697264
-8.836724332337027,21.903599572716942
-9.271379697353808,22.06219770653232
-9.706287649643427,22.220076685586704
-10.141447321779792,22.377235867901053
-10.576857514385026,22.533674771520428
-11.012517025902167,22.689392897364776
-11.448425122454097,22.844389582926738
-11.884580380243555,22.998664460756324
-12.320981877994734,23.152216944119502
-12.757628313358019,23.305046602325458
-13.194518775119892,23.45715286006454
-13.63165233808868,23.60853518821195
-14.069027337388134,23.7591933244178
-14.506643143003117,23.909126585220218
-14.944498561859154,24.05833455458121
-15.38259235517314,24.206816840687242
-15.820923366176693,24.35457299562999
-16.25949085257203,24.50160243865085
-16.698293094240267,24.64790497677963
-17.13732934343279,24.793480019191566
-17.576598606560996,24.938327114990987
-18.016099482942458,25.082445976597892
-18.45583076637477,25.225836215179864
-18.8957915575002,25.368497334029634
-19.335980826695586,25.510428935510273
-19.776396882524676,25.651630842732118
-20.217039324359394,25.79210240933991
-20.65790624210847,25.931843566766887
-21.098997244612526,26.070853668273102
-21.540310494285478,26.209132643980592
-21.981845434728967,26.34667992225359
-22.42360038029207,26.483495385902486
-22.865574694461344,26.619578517162566
-23.307766795874276,26.754929167371234
-23.75017568418003,26.889546969671414
-24.19280025911562,27.02343159627742
-24.63563928055311,27.15658280665298
-25.078691676133765,27.289000279000845
-25.52195620310318,27.420683774256613
-25.9654315384783,27.551633083787667
-26.409116946946025,27.681847792061582
-26.853010747580008,27.811327844368947
-27.297112146387157,27.94007285473494
-27.741419766784446,28.068082669348364
-28.185932522697808,28.195357033192238
-28.630649233902098,28.321895734943432
-29.075568730706895,28.44769856885652
-29.520689748564468,28.57276536541432
-29.966011084689857,28.69709593206547
-30.411531818009838,28.82068999930886
-30.857250401053125,28.943547531687326
-31.30316589431916,29.065668258414586
-31.74927700865976,29.187052065678973
-32.19558275384747,29.307698745187125
-32.64208150517394,29.42760830270318
-33.088772509689576,29.54678043338649
-33.53565441986884,29.66521508884692
-33.982725120150775,29.78291239155655
-34.43036607744268,29.89997116685228
-34.877650188482036,30.01614878063569
-35.325164352914435,30.131601477232298
-35.77291007058473,30.24632860273715
-36.22558483058474,30.35916325185869
