Engine + chamber wall radius,x real height
46.0,101.3359982
46.0,100.8693455
46.0,100.4026929
46.0,99.93604024
46.0,99.4693876
46.0,99.00273496
46.0,98.53608231
46.0,98.06942967
46.0,97.60277703
46.0,97.13612439
46.0,96.66947175
46.0,96.20281911
46.0,95.73616647
46.0,95.26951383
46.0,94.80286118
46.0,94.33620854
46.0,93.8695559
46.0,93.40290326
46.0,92.93625062
46.0,92.46959798
46.0,92.00294534
46.0,91.5362927
46.0,91.06964005
46.0,90.59615597615617
45.998937365433356,90.11562810703971
45.99571617463504,89.63512817590022
45.99033921378799,89.15464927143226
45.98280661655717,88.67420164221436
45.97311853134447,88.19379599308236
45.96127519605708,87.71344270071808
45.947276883132155,87.23315222709407
45.93112391662101,86.75293493203628
45.91281665454958,86.27280146249957
45.892355533246814,85.79276212648683
45.86974101645043,85.31282743380301
45.84497362680143,84.83300785372025
45.818053940172646,84.3533137613552
45.788982567165526,83.87375564343436
45.75776017740236,83.39434401383552
45.72438750249003,82.91508924271493
45.68886531074308,82.43600172926
45.651194411544,81.95709198024679
45.61137568241212,81.47837034090483
45.56941003106671,80.99984740263932
45.52529844534396,80.52153336259991
45.47904192472441,80.04343882405388
45.430641549028515,79.56557412791908
45.38009843736572,79.08794961660128
45.327413747321174,78.61057579201528
45.27258870159219,78.1334629896713
45.215624565778064,77.65662164809251
45.15652265954863,77.18006209547754
45.09528434348154,76.7037947171785
45.031911033748145,76.22782999497711
44.966404206284615,75.75217809072014
44.898765360609445,75.27684955695682
44.82899607313923,74.80185462855506
44.75709795129533,74.32720370761612
44.683072663284086,73.85290706279514
44.60692191703251,73.37897509987027
44.5286474771597,72.90541812803262
44.44825116100933,72.43224643550721
44.36573483049292,71.9594702831072
44.28110038744661,71.48710002795868
44.194349799730944,71.01514601737831
44.105485081591205,70.54361834815803
44.014508283874484,70.07252743522953
43.921421518117015,69.60188354345732
43.826226952251446,69.13169684975607
43.728926786631284,68.66197759204503
43.629523279348774,68.19273603299767
43.52801873653827,67.72398242083784
43.42441551919819,67.25572689074453
43.318716026442786,66.78797969073926
43.21092271568052,66.3207510141168
43.101038100282786,65.85405102429192
42.98906472868376,65.38788984667491
42.87500520331184,64.92227763838204
42.75886217035851,64.45722461078509
42.64063834136606,63.99274084360972
42.5203364664264,63.52883643693472
42.39795934350145,63.06552147844563
42.273509820924296,62.60280613120261
42.14699079910282,62.14070043443265
42.018405230437665,61.679214447745665
41.887756112851726,61.21835815146985
41.75504648269492,60.75814170990545
41.620279441656514,60.298575113909465
41.48345814774504,59.83966827090179
41.344585776580345,59.3814312761809
41.20366557709462,58.923874095027244
41.06070084987851,58.467006627946375
40.91569492334851,58.01083891982274
40.76865119831727,57.555380890361725
40.619573123619034,57.10064234730353
40.46846417176495,56.64663328808001
40.31532788374559,56.19336363058622
40.16016785736324,55.74084317511342
40.0029877251312,55.289081782855334
39.84379116840052,54.83808934088096
39.68258192923131,54.38787560311166
39.51936378900723,53.938450410139076
39.35414057436707,53.48982358533222
39.186916180232096,53.04200483695544
39.017694532698805,52.59500390414832
38.846479603635075,52.14883066264304
38.673275438984774,51.7034946694345
38.49808611336116,51.259005644077
38.32091574326827,50.81537336359574
38.14176852126345,50.37260739827187
37.9606486705795,49.930717427325405
37.77756046013879,49.489713043673106
37.592508213153344,49.04960393618969
37.40549631668702,48.61039953483464
37.216529182123665,48.17210957569213
37.02561129061489,47.73474352270854
